studentId,class
1,5R
2,7K
3,1L
4,7J
5,11H
6,11C
7,10Y
8,6P
9,10D
10,10D
11,6C
12,11X
13,8G
14,8F
15,10X
16,2X
17,8T
18,1H
19,8H
20,4H
21,3Q
22,1S
23,9J
24,2C
25,12S
26,12M
27,6H
28,2D
29,7V
30,7F
31,9V
32,6O
33,6D
34,6N
35,5E
36,9I
37,2O
38,10R
39,11A
40,4W
41,6N
42,4N
43,4J
44,10Y
45,11J
46,9C
47,10R
48,11V
49,2N
50,8X
51,6O
52,10J
53,12Y
54,9O
55,9X
56,12W
57,7B
58,8V
59,2T
60,11P
61,6L
62,9G
63,7Q
64,8N
65,1N
66,11Q
67,6L
68,11N
69,5R
70,11J
71,9W
72,4J
73,12C
74,1I
75,7I
76,8C
77,9V
78,12O
79,5X
80,1T
81,3A
82,4Z
83,7Y
84,7R
85,5L
86,7K
87,4E
88,12C
89,2Z
90,8S
91,1K
92,3Z
93,5J
94,4C
95,5H
96,12W
97,1O
98,10X
99,7Z
100,10K
101,10C
102,1Y
103,2M
104,5X
105,5K
106,11D
107,12K
108,11W
109,10E
110,5D
111,12W
112,7L
113,1F
114,4E
115,10Z
116,7E
117,7A
118,9P
119,9J
120,3X
121,8B
122,2A
123,4U
124,5E
125,5B
126,12F
127,7O
128,3E
129,12I
130,10P
131,6S
132,11X
133,1F
134,3K
135,4Z
136,8O
137,6P
138,3I
139,3S
140,6I
141,9Q
142,7K
143,4K
144,7G
145,11C
146,7P
147,8P
148,12E
149,4F
150,5G
151,6H
152,11V
153,3M
154,6Y
155,1P
156,3K
157,1F
158,3B
159,3P
160,10A
161,7D
162,6J
163,1X
164,3M
165,2C
166,1Q
167,12E
168,1X
169,11C
170,8K
171,9G
172,8S
173,1G
174,9U
175,11V
176,7N
177,3L
178,5L
179,5M
180,4S
181,11J
182,9R
183,4W
184,12E
185,1E
186,10W
187,10K
188,2J
189,2Y
190,6R
191,1M
192,6B
193,12T
194,3A
195,6U
196,7R
197,10Q
198,2E
199,3Q
200,10O
201,12W
202,4N
203,12J
204,3J
205,1T
206,12N
207,1K
208,5Y
209,8M
210,6Q
211,2L
212,10V
213,11R
214,4X
215,4V
216,8X
217,4P
218,2J
219,2D
220,10H
221,6B
222,10C
223,6Y
224,1Z
225,6Z
226,10H
227,7Y
228,5P
229,10B
230,7S
231,11L
232,12L
233,8O
234,2G
235,5P
236,5G
237,5N
238,7P
239,8O
240,3D
241,10R
242,4Z
243,12J
244,4Q
245,6R
246,11P
247,1Z
248,12G
249,5Q
250,3X
251,3U
252,8M
253,10S
254,5K
255,12N
256,5H
257,6K
258,4Q
259,3T
260,4A
261,1T
262,2B
263,7P
264,8M
265,10Q
266,10G
267,1I
268,2L
269,3W
270,7S
271,10T
272,11B
273,2C
274,3O
275,9I
276,5C
277,4Q
278,10I
279,3N
280,1P
281,12N
282,6I
283,5T
284,11P
285,4X
286,6L
287,4Y
288,3U
289,9H
290,7H
291,7W
292,12P
293,12Q
294,4O
295,9Q
296,9J
297,8N
298,8O
299,6R
300,5J
301,12U
302,4D
303,5P
304,9L
305,2N
306,12Z
307,4Y
308,8Y
309,10A
310,4C
311,8O
312,4V
313,4N
314,2G
315,8G
316,5E
317,7H
318,4I
319,9F
320,12I
321,12T
322,2P
323,1Z
324,7F
325,6I
326,7A
327,10T
328,4G
329,11K
330,3Y
331,1N
332,9T
333,2H
334,11W
335,7L
336,6L
337,11M
338,3K
339,9Z
340,12H
341,6E
342,3S
343,3N
344,1Y
345,6T
346,8Z
347,1R
348,8C
349,10H
350,9C
351,4C
352,10G
353,1L
354,12U
355,8S
356,5M
357,12O
358,9U
359,5P
360,11S
361,2P
362,4E
363,5K
364,4Y
365,8F
366,1K
367,7O
368,3H
369,6B
370,4J
371,12L
372,2V
